ADAUSD,11,0.0,0.0,0.0,0.0,300
ALGOUSD,11,0.0,0.0,0.0,0.0,300
ATOMUSD,11,0.0,0.0,0.0,0.0,300
BANDUSD,11,0.0,0.0,0.0,0.0,300
BATUSD,11,0.0,0.0,0.0,0.0,300
BCHUSD,11,0.0,0.0,0.0,0.0,300
BNBUSD,11,0.0,0.0,0.0,0.0,300
BTCUSD,11,0.0,0.0,0.0,0.0,300
DASHUSD,11,0.0,0.0,0.0,0.0,300
DOGEUSD,11,0.0,0.0,0.0,0.0,300
EGLDUSD,11,0.0,0.0,0.0,0.0,300
ENJUSD,11,0.0,0.0,0.0,0.0,300
EOSUSD,11,0.0,0.0,0.0,0.0,300
ETCUSD,10,0.0,0.0,0.0,0.0,300
ETHUSD,11,0.0,0.0,0.0,0.0,300
HBARUSD,11,0.0,0.0,0.0,0.0,300
HNTUSD,11,0.0,0.0,0.0,0.0,300
ICXUSD,11,0.0,0.0,0.0,0.0,300
IOTAUSD,11,0.0,0.0,0.0,0.0,300
KNCUSD,11,0.0,0.0,0.0,0.0,300
LINKUSD,11,0.0,0.0,0.0,0.0,300
LTCUSD,11,0.0,0.0,0.0,0.0,300
MANAUSD,11,0.0,0.0,0.0,0.0,300
MATICUSD,11,0.0,0.0,0.0,0.0,300
NANOUSD,11,0.0,0.0,0.0,0.0,300
NEOUSD,11,0.0,0.0,0.0,0.0,300
OMGUSD,11,0.0,0.0,0.0,0.0,300
ONEUSD,11,0.0,0.0,0.0,0.0,300
ONTUSD,11,0.0,0.0,0.0,0.0,300
OXTUSD,11,0.0,0.0,0.0,0.0,300
QTUMUSD,11,0.0,0.0,0.0,0.0,300
REPUSD,11,0.0,0.0,0.0,0.0,300
RVNUSD,11,0.0,0.0,0.0,0.0,300
SOLUSD,11,0.0,0.0,0.0,0.0,300
STORJUSD,11,0.0,0.0,0.0,0.0,300
UNIUSD,11,0.0,0.0,0.0,0.0,300
VETUSD,11,0.0,0.0,0.0,0.0,300
WAVESUSD,11,0.0,0.0,0.0,0.0,300
XLMUSD,11,0.0,0.0,0.0,0.0,300
XTZUSD,11,0.0,0.0,0.0,0.0,300
ZECUSD,11,0.0,0.0,0.0,0.0,300
ZENUSD,11,0.0,0.0,0.0,0.0,300
ZILUSD,11,0.0,0.0,0.0,0.0,300
ZRXUSD,11,0.0,0.0,0.0,0.0,300
